Make,Fuel,Engine Cylinders,ActualAverageCityMPG,ActualAverageHighwayMPG,Average City MPG,Average Highway MPG,Number of Records
Acura,Gasoline,4,25,35,25,35,1
Acura,Gasoline,6,21,28,21,28,1
Alfa Romeo,Gasoline,4,24,33,24,33,1
Alfa Romeo,Gasoline,6,17,24,17,24,1
Aston Martin,Gasoline,12,12,19,12,19,1
Audi,Gasoline,4,23.5,31,47,62,2
Audi,Gasoline,6,19,27,19,27,1
Audi,Gasoline,8,17,26,17,26,1
Audi,Gasoline,10,14,22,14,22,1
Bentley,Gasoline,8,13,22,13,22,1
Bentley,Gasoline,12,12,20,12,20,1
BMW,Diesel,4,30,41,30,41,1
BMW,Diesel,6,23,29,23,29,1
BMW,Electricity,0,133,109,133,109,1
BMW,Gasoline,2,36,33,36,33,1
BMW,Gasoline,3,28,29,28,29,1
BMW,Gasoline,4,23,32,23,32,1
BMW,Gasoline,6,19,28,19,28,1
BMW,Gasoline,8,15,23,15,23,1
BMW,Gasoline,12,13,20,13,20,1
Buick,Gasoline,4,21.5,29,43,58,2
Buick,Gasoline,6,18,26,18,26,1
Cadillac,Gasoline,4,22,31,44,62,2
Cadillac,Gasoline,6,17.5,25.5,35,51,2
Cadillac,Gasoline,8,14.5,21,29,42,2
Chevrolet,Diesel,4,21,29,21,29,1
Chevrolet,Electricity,0,128,110,128,110,1
Chevrolet,Gasoline,4,24,32.5,48,65,2
Chevrolet,Gasoline,6,17,24,17,24,1
Chevrolet,Gasoline,8,15,22,30,44,2
Chrysler,Gasoline,4,23,36,23,36,1
Chrysler,Gasoline,6,20,29,20,29,1
Chrysler,Gasoline,8,16,25,16,25,1
Dodge,Gasoline,4,19,25,19,25,1
Dodge,Gasoline,6,18,27,18,27,1
Dodge,Gasoline,8,14.5,23.5,29,47,2
Dodge,Gasoline,10,12,19,12,19,1
Ferrari,Gasoline,8,16,22,16,22,1
Ferrari,Gasoline,12,12,16,12,16,1
Fiat,Electricity,0,121,103,121,103,1
Fiat,Gasoline,4,24,32,48,64,2
Ford,Electricity,0,118,96,118,96,1
Ford,Gasoline,3,29,40,29,40,1
Ford,Gasoline,4,21.5,28,43,56,2
Ford,Gasoline,6,14,20.5,28,41,2
Ford,Gasoline,8,14.5,21.5,29,43,2
Genesis,Gasoline,6,17,25.5,34,51,2
Genesis,Gasoline,8,15,23,15,23,1
GMC,Diesel,4,21,29,21,29,1
GMC,Gasoline,4,20,27,20,27,1
GMC,Gasoline,6,17,23,17,23,1
GMC,Gasoline,8,15,21,15,21,1
Honda,Gasoline,4,29.5,37.5,59,75,2
Honda,Gasoline,6,19,28,19,28,1
Hyundai,Electricity,0,150,122,150,122,1
Hyundai,Gasoline,4,27,34,27,34,1
Hyundai,Gasoline,6,18,25,18,25,1
Infiniti,Gasoline,4,23.5,28.5,47,57,2
Infiniti,Gasoline,6,20,27,20,27,1
Infiniti,Gasoline,8,15,22,15,22,1
Jaguar,Diesel,4,30,39,30,39,1
Jaguar,Gasoline,4,21,30,21,30,1
Jaguar,Gasoline,6,18,26,18,26,1
Jaguar,Gasoline,8,15,23,15,23,1
Jeep,Gasoline,4,22.5,29,45,58,2
Jeep,Gasoline,6,18,24.5,36,49,2
Jeep,Gasoline,8,13.5,20.5,27,41,2
Kia,Electricity,0,120,92,120,92,1
Kia,Gasoline,4,27,33,27,33,1
Kia,Gasoline,6,18,25,18,25,1
Kia,Gasoline,8,15,23,15,23,1
Lamborghini,Gasoline,10,14,21,14,21,1
Lamborghini,Gasoline,12,10,17,10,17,1
Land Rover,Diesel,6,22,28,22,28,1
Land Rover,Gasoline,4,20,27,20,27,1
Land Rover,Gasoline,6,17,23,17,23,1
Land Rover,Gasoline,8,14,19,14,19,1
Lexus,Gasoline,4,30.5,33,61,66,2
Lexus,Gasoline,6,20.5,28,41,56,2
Lexus,Gasoline,8,16,22,16,22,1
Lincoln,Gasoline,4,23,29,23,29,1
Lincoln,Gasoline,6,16,24,16,24,1
Lotus,Gasoline,6,17,24,17,24,1
Maserati,Gasoline,6,16,24,16,24,1
Maserati,Gasoline,8,14,20,14,20,1
Mazda,Gasoline,4,26.5,34.5,53,69,2
McLaren Automotive,Gasoline,8,16,23,16,23,1
Mercedes-Benz,Electricity,0,85,82,85,82,1
Mercedes-Benz,Gasoline,4,23,30,23,30,1
Mercedes-Benz,Gasoline,6,19,25,19,25,1
Mercedes-Benz,Gasoline,8,16,22,16,22,1
Mercedes-Benz,Gasoline,12,13,20,13,20,1
MINI,Gasoline,4,24,33,24,33,1
Mitsubishi,Electricity,0,121,102,121,102,1
Mitsubishi,Gasoline,3,35,42,35,42,1
Mitsubishi,Gasoline,4,24,31,24,31,1
Mitsubishi,Gasoline,6,20,27,20,27,1
Nissan,Electricity,0,124,101,124,101,1
Nissan,Gasoline,4,26,32,52,64,2
Nissan,Gasoline,6,18,25.5,36,51,2
Nissan,Gasoline,8,14,20,14,20,1
Porsche,Gasoline,4,21,27,21,27,1
Porsche,Gasoline,6,19,26,19,26,1
Porsche,Gasoline,8,14,21,14,21,1
Ram,Gasoline,4,21,28,21,28,1
Ram,Gasoline,6,17,24,17,24,1
Ram,Gasoline,8,14,21,14,21,1
Rolls-Royce,Gasoline,12,12,19,12,19,1
Roush Performance,Gasoline,8,14,23,14,23,1
smart,Gasoline,3,32,39,32,39,1
Subaru,Gasoline,4,23,30,46,60,2
Subaru,Gasoline,6,20,28,20,28,1
Tesla,Electricity,0,92,98,92,98,1
Toyota,Gasoline,4,27.5,32.5,55,65,2
Toyota,Gasoline,6,20,25,20,25,1
Toyota,Gasoline,8,13,18,13,18,1
Volkswagen,Gasoline,4,22.5,30.5,45,61,2
Volkswagen,Gasoline,6,18,25,18,25,1
Volvo,Gasoline,4,22.5,30.5,45,61,2
